houseName,houseScale,houseArea,houseLayers,houseDirect,builtDate,owner,community,detailAddress,price
"文昌雅居两居室总价低楼栋位置好,采光充足毛坯",2室1厅,74.44㎡,中层（共30层）,南向,2014年建,李子良,文昌雅居,周谷堆-文昌雅居淝河路与周谷堆路交口,13164元/㎡
滨湖5.0板块160万起信达精装三室自带商业近5高地铁找我优,3室2厅,92㎡,中层（共33层）,南北向,2020年建,左俊,华宇信达·锦绣花城,包河工业园-华宇信达·锦绣花城,17391元/㎡
"文昌雅居两居室总价低楼栋位置好,采光充足毛坯",2室1厅,74.44㎡,中层（共30层）,南向,2014年建,王东辉,文昌雅居,周谷堆-文昌雅居淝河路与周谷堆路交口,13164元/㎡
高铁南站政务旁国企开发建发雍龙府品质复古庭院苏式园林建筑,4室2厅,138㎡,高层（共28层）,南北向,2015年建,左俊,建发·雍龙府,南门换乘中心-建发·雍龙府,22173元/㎡
地铁口包河区低密住宅金成府屯溪路小改善精装大4房绿城物业,4室2厅,118㎡,低层（共16层）,南北向,2019年建,左俊,金隅金成府,合工大-金隅金成府,17627元/㎡
"中高楼层,采光好,自住保养好,",3室2厅,99.71㎡,高层（共4层）,西南向,2014年建,聂丹丹,新西南华庭,轴承厂-新西南华庭合肥市蜀山区望江西路21号,14542元/㎡
安高城市天地 小高层顶复 红木家具 市政供暖 素质住户,5室3厅,197.67㎡,高层（共11层）,南向,2014年建,左俊,安高城市天地,轴承厂-安高城市天地合作化南路与望江西路交口东南,21500元/㎡
淮矿东方蓝海D区毛坯3房2卫四十八中金半路急售,3室2厅,118㎡,低层（共33层）,南北向,2016年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,18644元/㎡
稻香村独立小区中间楼层居家装修采光不遮挡,3室2厅,121.44㎡,高层（共18层）,南向,2014年建,聂丹丹,地方铁路家园,南七-地方铁路家园太湖路与金寨路交口,13504元/㎡
拒绝虚假国庆特惠首付24万起送产权车位精装品质洋房,4室2厅,135㎡,中层（共6层）,南向,2019年建,聂丹丹,金鹏麓山院,蜀山新产业园-金鹏麓山院方兴大道与彩虹路交口西南,18014元/㎡
金隅金成府精装修南北通透一环旁绿城物业屯小校区,3室2厅,98㎡,中层（共16层）,南北向,2020年建,聂丹丹,金隅金成府,合工大-金隅金成府,18367元/㎡
()环湖CBD淮矿精装三房满二无税中等楼层,3室2厅,94㎡,低层（共33层）,南向,2015年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20000元/㎡
()万象公馆精装 急卖 看房随时税费少 楼层位置好,3室2厅,122㎡,中层（共30层）,南北向,2017年建,方太蕾,万象公馆,金融中心-万象公馆合肥市滨湖区西藏路和云谷路交口西南角,18032元/㎡
裕丰()直降20万你懂得能谈中海3房91平,3室2厅,92㎡,低层（共41层）,南北向,2016年建,敬起福,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,22608元/㎡
西七里塘地铁口 天玥中心 2017年次新房 精装3房 中层采光好 急售,3室2厅,93㎡,中层（共27层）,南北向,2017年建,刘能桐,天玥中心,三里庵-天玥中心长江西路与潜山路交叉口向北50米,19784元/㎡
大蜀山脚下 瑞和山水居 精装2房 中层采光好 刚需婚房 地铁口 急,3室2厅,91㎡,高层（共33层）,南北向,2015年建,刘能桐,瑞和山水居,大蜀山-瑞和山水居望江西路与香樟大道交汇处西南,13736元/㎡
一尔悦城 63万 2室1厅1卫 普通装修周边配套完善,2室1厅,64㎡,中层（共27层）,南北向,2018年建,刘能桐,一尔悦城,合钢-一尔悦城上海路与滨河路交口,9843元/㎡
滨湖笋盘淮矿精装二房带家具家电 满二年 赠送产权车位 急售,2室2厅,81.5㎡,中层（共30层）,南北向,2015年建,方太蕾,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,18404元/㎡
"业主抛售,便宜,碧桂园时代倾城 131.4万 3室2厅2",3室2厅,96㎡,中层（共23层）,南向,2018年建,刘能桐,碧桂园·时代倾城,大杨镇-碧桂园·时代倾城,13687元/㎡
(优)业主实售!价格好谈钥匙在手精装一次未住地铁口随时签,4室2厅,135㎡,低层（共33层）,南北向,2016年建,敬起福,合肥宝能城,文化旅游城-合肥宝能城,21333元/㎡
包河区 省府南站 双板块央企 信达地铁口 屯小48中 改善,4室2厅,121.9㎡,中层（共28层）,南北向,2019年建,冀中国,信达华宇锦绣龙川,葛大店-信达华宇锦绣龙川龙川路与北京路交口东500米,19688元/㎡
省府板块 锦绣龙创 花城双品牌开发精装修品质楼盘户型好,3室2厅,92㎡,中层（共26层）,南向,2017年建,冀中国,信达华宇锦绣龙川,葛大店-信达华宇锦绣龙川龙川路与北京路交口东500米,16304元/㎡
包河区 翡翠天际 屯小48中 精装大三房 4号地铁口 万科品质,3室2厅,102.8㎡,中层（共18层）,南北向,2020年建,冀中国,翡翠天际,包河工业园-翡翠天际龙川路与北京路交口东北角,18287元/㎡
招商雍荣府 科技精装 南北通透 双地铁屯溪路42中 四房电梯,4室2厅,128㎡,中层（共11层）,南北向,2019年建,冀中国,雍荣府,包河工业园-雍荣府北京路和郎溪路交口西南角,19140元/㎡
繁华地段品质住宅中海滨湖公馆四房230万,4室2厅,99㎡,中层（共42层）,南北向,2016年建,敬起福,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,23232元/㎡
滨湖省府板块 央企开发 精装修 南北通透 环境幽美,4室2厅,128㎡,中层（共8层）,南北向,陶梦丽,,滨湖金茂悦,新省府-滨湖金茂悦包河大道与福州路交口向西200米,29531元/㎡
()公立幼儿园 师资力量强 高 口,3室2厅,98.6㎡,中层（共32层）,南北向,2016年建,方太蕾,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,18762元/㎡
(优)淮矿东方蓝海边户带车位双阳台景观房视野巨好诚出,3室2厅,115.8㎡,高层（共33层）,南北向,2016年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,19689元/㎡
滨湖金融板块改善型洋房 地铁口 配套齐全,4室2厅,178㎡,中层（共11层）,南北向,陶梦丽,,滨湖荣盛华府,金融中心-滨湖荣盛华府四川路与贵阳路交口向西200米,24157元/㎡
(优)地铁口无税宝能城二期中间户4房刚需纯毛坯急卖,4室2厅,108㎡,低层（共33层）,东向,2017年建,敬起福,合肥宝能城,文化旅游城-合肥宝能城,17777元/㎡
中高楼层 邻近公园 精装自住 满二,2室1厅,94.52㎡,中层（共28层）,南北向,2015年建,方太蕾,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,21265元/㎡
建发·雍龙府 4室2厅2卫 毛坯 280万元,4室2厅,137.7㎡,中层（共11层）,南北向,2020年建,范家奇,建发·雍龙府,南门换乘中心-建发·雍龙府,20334元/㎡
华地森林语 4室2厅2卫 精装修 143万元,4室2厅,119.24㎡,中层（共15层）,南向,2019年建,范家奇,华地森林语,岗集-华地森林语阜阳北路与汝阳路交口往东100米,11992元/㎡
"两房朝南,房龄新,楼栋位置好,采光不挡",3室2厅,91.52㎡,低层（共28层）,南北向,2014年建,李子良,文昌雅居,周谷堆-文昌雅居淝河路与周谷堆路交口,13111元/㎡
滨湖金融板块低密高层华宅典范 南北通透 地铁口 环境幽美精装修,3室2厅,133㎡,中层（共33层）,南北向,陶梦丽,,滨湖荣盛华府,金融中心-滨湖荣盛华府四川路与贵阳路交口向西200米,20300元/㎡
"两房朝南,房龄新,楼栋位置好,采光不挡",3室2厅,91.52㎡,低层（共28层）,南北向,2014年建,王东辉,文昌雅居,周谷堆-文昌雅居淝河路与周谷堆路交口,13111元/㎡
"国企开发,双公园,双地铁口,低密度,金隅大成郡,精装交付",3室2厅,93.9㎡,高层（共14层）,南向,2015年建,何义成,金隅大成郡,骆岗-金隅大成郡东二环路与南淝河路交口东南,17784元/㎡
出售地铁16号线小区环境好游泳池配套生活方便,2室2厅,95.03㎡,中层（共27层）,南向,2010年建,何义成,力高柏林春天,合家福购物街-柏林春天马鞍山路与东流路交汇处,13153元/㎡
世纪阳光花园青阳苑3室2厅南北通透148万96平采,3室2厅,96.1㎡,高层（共6层）,南北向,2010年建,何义成,世纪阳光花园,合家福购物街-世纪阳光花园马鞍山路与太湖路交口,15400元/㎡
"(优)送20万精装修。临地铁口金斗公园,商圈成熟",2室2厅,82㎡,低层（共24层）,南向,2015年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20487元/㎡
滨湖5.0板块160万起信达精装三室自带商业近5高地铁找我优,3室2厅,92㎡,中层（共33层）,南北向,2020年建,何义成,华宇信达·锦绣花城,包河工业园-华宇信达·锦绣花城,17391元/㎡
"合家福商圈海顿公馆西区,地铁口,带供暖,中间楼层采光好,",3室2厅,120.1㎡,中层（共18层）,南北向,2012年建,赵倩,新里海顿公馆西区,合家福购物街-绿地海顿公馆马鞍山路与太湖路交口,16236元/㎡
"(优)280万带车产权车位,楼旺位置采光本周必卖!",4室2厅,135.3㎡,高层（共29层）,南北向,2016年建,丁洁,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20694元/㎡
(优)必看好房本周必卖低于市场15万还少一个点个税随时看房,3室2厅,92.3㎡,低层（共33层）,南北向,2016年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,18743元/㎡
()双地铁环湖板块宝能城边户户型方正得房,4室2厅,108㎡,低层（共33层）,东向,2018年建,丁洁,合肥宝能城,文化旅游城-合肥宝能城,18055元/㎡
"(优)拒绝虚假!刚需好房,户型方正,业主诚心出售!",3室2厅,88㎡,低层（共28层）,南向,2016年建,丁洁,合肥宝能城,文化旅游城-合肥宝能城,19090元/㎡
"(优)淮矿B区大四房,花园景观满两年,业主置换的",4室2厅,143㎡,中层（共33层）,东向,2016年建,丁洁,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,18881元/㎡
"(优)淮矿B区大四房,花园景观满两年,业主置换的",4室2厅,143㎡,中层（共33层）,东向,2016年建,丁洁,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,18881元/㎡
200万买南北正通透中层三房双满二无税有钥匙诚售,3室2厅,94㎡,低层（共33层）,南北向,2017年建,丁洁,合肥宝能城,文化旅游城-合肥宝能城,21808元/㎡
()本周必卖价格可大谈精装情侣必备东边户,2室2厅,96㎡,高层（共33层）,东向,2018年建,丁洁,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20000元/㎡
精装双地铁银泰旁中海滨湖公馆温馨的家三世同堂,4室2厅,114㎡,中层（共42层）,南北向,2017年建,丁洁,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,27192元/㎡
()银泰旁中海中户三房房东出售家具家电全送,3室2厅,89㎡,低层（共34层）,东向,2016年建,丁洁,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,21910元/㎡
优品房源精装未住人双地铁口中海滨湖公馆改善4房,4室2厅,98㎡,低层（共28层）,南向,2015年建,丁洁,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,26326元/㎡
电梯房 万振逍遥苑四期 86平 简单装修 看房方便 有钥匙,2室1厅,86㎡,高层（共32层）,南北向,2013年建,赵倩,万振逍遥苑,合家福购物街-万振逍遥苑马鞍山路与太湖路交叉口,14883元/㎡
(优)争实房源两年前的价格紧此一套买到即赚抓紧来吧,2室2厅,82.1㎡,低层（共24层）,南北向,2016年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,18306元/㎡
正规四房房主置换洋房已看好中海滨湖公馆房112平随时看,4室2厅,112㎡,低层（共34层）,东向,2016年建,敬起福,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,23214元/㎡
万达揽湖苑 产权清晰 放心交易 值得选购 低市价,2室2厅,76.5㎡,中层（共33层）,南向,2016年建,方太蕾,万达揽湖苑,文化旅游城-万达揽湖苑庐州大道和贵阳路交口,20915元/㎡
48中 急售 地矿家园 通透三室 中间层 近地铁 看房方便,3室2厅,116.8㎡,高层（共31层）,南北向,2012年建,赵倩,地矿家园,合家福购物街-地矿家园马鞍山路与当涂支路交口,14469元/㎡
东方蓝海边户两房可改三南北通透采光丰富,2室2厅,94㎡,低层（共33层）,南北向,2016年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,19361元/㎡
(优)滨湖宝能城二期4房108平220万随时看房诚售,4室2厅,108㎡,高层（共33层）,东向,2018年建,吕莫平,合肥宝能城,文化旅游城-合肥宝能城,20370元/㎡
华润幸福里 精装 三房 南北通透 业主诚售,3室2厅,87.7㎡,低层（共33层）,南北向,2014年建,孙倩倩,华润幸福里,轴承厂-华润幸福里,21892元/㎡
南北通透 满五 住房 电梯房 精装修 3室2厅 楼层好,3室2厅,101.3㎡,低层（共45层）,南北向,2013年建,赵倩,蓝鼎星河府,周谷堆-蓝鼎星河府巢湖南路与铜陵南路交口,16288元/㎡
(优)中海滨湖公馆精装大三房看房方便满二,3室2厅,92㎡,低层（共41层）,南北向,2017年建,吕莫平,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,22826元/㎡
"此房格局好,动静分离,视野开阔,交通便利,配套",3室2厅,99.63㎡,中层（共25层）,南向,2015年建,方太蕾,万达揽湖苑,文化旅游城-万达揽湖苑庐州大道和贵阳路交口,22483元/㎡
(优)保真143平仅售256W有钥匙低于市场价15万急售,4室2厅,143.1㎡,中层（共33层）,南北向,2017年建,吕莫平,合肥宝能城,文化旅游城-合肥宝能城,17679元/㎡
"(优)淮矿C区高层景观中户两房,精装修满两年置换急售!",2室2厅,82㎡,中层（共33层）,东向,2016年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,22560元/㎡
"边户的三房,户型方正 人车分流 满五",3室2厅,89.86㎡,低层（共33层）,南向,2014年建,孙倩倩,华润幸福里,轴承厂-华润幸福里,21144元/㎡
"(优)刚需抓紧上车了,中海滨湖公馆,小3房,出门就是地铁口,",3室2厅,88.7㎡,低层（共34层）,南北向,2017年建,吕莫平,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,26493元/㎡
()保利五月花经典6层洋房东边户公园旁随时看,4室2厅,128㎡,中层（共6层）,南北向,2016年建,敬起福,保利海上五月花,文化旅游城-保利海上五月花南宁路与金斗西路交口东南角,31640元/㎡
(优)宝能城一期114平4房2卫中上楼层双轨交汇采光好诚售,4室2厅,114.8㎡,高层（共33层）,南向,2017年建,吕莫平,合肥宝能城,文化旅游城-合肥宝能城,20557元/㎡
(优)新上房源东方蓝海A区4房4房好楼层好位置诚心出售,4室2厅,122.5㎡,中层（共32层）,南北向,2015年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,22857元/㎡
(优)东方蓝海精装从未入住二十楼随时看房四房,4室2厅,122.5㎡,中层（共34层）,南北向,2018年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,22448元/㎡
(优)东方蓝海中户三房纯毛坯随时看房纯毛坯业主诚售不调价,3室2厅,98.6㎡,高层（共34层）,南北向,2018年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,23326元/㎡
(优)环湖CBD边户南北通透三房满二无税有钥匙业主置换出售,3室2厅,101.1㎡,低层（共31层）,南北向,2016年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,18991元/㎡
(优)保真有钥匙中高层采光刺眼满二无税业主诚心卖到价就签,3室2厅,98.6㎡,高层（共31层）,南北向,2017年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,21805元/㎡
华润幸福里 边户 采光好视野好 配套齐全 交通便利,3室2厅,89.69㎡,低层（共33层）,南向,2014年建,孙倩倩,华润幸福里,轴承厂-华润幸福里,22299元/㎡
小三房 带电梯 高楼层 风景好 业主诚心出售,3室2厅,96.64㎡,高层（共9层）,南向,2014年建,孙倩倩,黄山花园,轴承厂-黄山花园望江西路159号(东至路口),16556元/㎡
(优)东方蓝海新上边户四房135平带车位随时看,4室2厅,135㎡,低层（共32层）,南北向,2018年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20000元/㎡
"香樟雅苑,市政供暖,三室两厅,南北通透,采光很好,拎包住",3室2厅,138.3㎡,中层（共11层）,南向,2008年建,褚海飞,香樟雅苑,炮兵学院-香樟雅苑东至路与望江路交汇处,17932元/㎡
(优)清华园边户三房屯溪路四十六中本部!!!,3室2厅,86.9㎡,低层（共33层）,南北向,2011年建,敬起福,蓝鼎滨湖假日清华园,滨湖假日-蓝鼎滨湖假日清华园,25316元/㎡
特价 168 悦湖新著 刚需三室 精装交房 双公围绕 地铁口,3室2厅,88㎡,低层（共15层）,南北向,2020年建,卢文江,悦湖新著,生态公园-悦湖新著淮海大道与前岭路东南角,11590元/㎡
